pk,symbol,name,name_a
4878,MLNK,MeridianLink Inc,meridianlink
5255,NMIH,NMI Holdings Inc,"nmi,holdings"
7495,TSE,Trinseo PLC Ordinary Shares,"trinseo,ordinary"
6139,PTY,Pimco Corporate & Income Opportunity Fd,[]
4886,MMI,Marcus & Millichap Inc,"marcus,&"
4006,IPOF,Social Capital Hedosophia Holdings Corp,[]
4107,JBI,Janus International Group Inc,"janus,international"
8161,XPEL,XPEL Inc,xpel
791,AVDX,AvidXchange Holdings Inc,"avidxchange,holdings"
6547,SAFT,Safety Insurance Group Inc,"safety,insurance"
244,AGIO,Agios Pharmaceuticals Inc,"agios,pharmaceuticals"
1636,CINT,CI&T Inc Class A Common Shares,"ci&t,class"
5668,OXM,Oxford Industries Inc,"oxford,industries"
7157,SWTX,SpringWorks Therapeutics Inc,springworks
6971,SPNS,Sapiens International Corporation N,"sapiens,international"
6199,QRTEB,Qurate Retail Inc,[]
6161,PX,P10 Inc,p10
5881,PHR,Phreesia Inc,phreesia
4374,LAW,CS Disco Inc,"cs,disco"
354,ALG,Alamo Group Inc,"alamo,group"
161,ADUS,Addus HomeCare Corporation,"addus,homecare"
6227,RADI,Radius Global Infrastructure Inc,"radius,global"
6248,RC,Ready Capital Corproation,"ready,capital"
3147,GDOT,Green Dot Corporation Class A  $0,"green,dot"
6592,SBH,Sally Beauty Holdings Inc,"sally,beauty"
2104,DAWN,Day One Biopharmaceuticals Inc,"one,biopharmaceuticals"
5774,PCVX,Vaxcyte Inc,vaxcyte
588,ARCO,Arcos Dorados Holdings Inc,"arcos,dorados"
7203,TARO,Taro Pharmaceutical Industries Ltd,"taro,pharmaceutical"
1004,BGCP,BGC Partners Inc Class A,"bgc,partners"
8074,WRBY,Warby Parker Inc,"warby,parker"
891,BATRA,Liberty Media Corporation,"liberty,media"
8004,WFRD,Weatherford International plc Ordinary Shares,"weatherford,international"
4762,MEI,Methode Electronics Inc,"methode,electronics"
1475,CDNA,CareDx Inc,caredx
5937,PLUS,ePlus inc,eplus
5954,PMT,PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest,"pennymac,mortgage"
6314,RES,RPC Inc,rpc
2849,FINV,FinVolution Group,"finvolution,group"
4752,ME,23andMe Holding Co,"23andme,holding"
4974,MRTN,Marten Transport Ltd,"marten,transport"
7254,TDCX,TDCX Inc,tdcx
4361,LADR,Ladder Capital Corp Class A,"ladder,capital"
4530,LMND,Lemonade Inc,lemonade
7060,STC,Stewart Information Services Corporation,"stewart,information"
6849,SLVM,Sylvamo Corporation,"sylvamo,corporation"
4243,KFRC,Kforce Inc,kforce
1731,CMRE,Costamare Inc,costamare
2592,EQX,Equinox Gold Corp,"equinox,gold"
3617,HLLY,Holley Inc,holley
2628,ESTA,Establishment Labs Holdings Inc,"establishment,labs"
6129,PTNR,Partner Communications Company Ltd,"partner,communications"
443,AMK,AssetMark Financial Holdings Inc,assetmark
1341,BXMX,Nuveen S&P 500 Buy-Write Income Fd,"s&p,500"
3743,HURN,Huron Consulting Group Inc,"huron,consulting"
2408,ECVT,Ecovyst Inc,ecovyst
7895,VRTS,Virtus Investment Partners Inc,"virtus,investment"
6041,PRLB,Proto Labs Inc,"proto,labs"
683,ASTL,Algoma Steel Group Inc,"algoma,steel"
1047,BIGC,BigCommerce Holdings Inc,"bigcommerce,holdings"
4122,JELD,JELD-WEN Holding Inc,"jeld-wen,holding"
7536,TUYA,Tuya Inc,tuya
162,ADV,Advantage Solutions Inc,"advantage,solutions"
474,AMWL,American Well Corporation,"american,well"
892,BATRK,Liberty Media Corporation,[]
4395,LC,LendingClub Corporation,"lendingclub,corporation"
3470,GVA,Granite Construction Incorporated,"granite,construction"
4732,MDGL,Madrigal Pharmaceuticals Inc,"madrigal,pharmaceuticals"
3965,INT,World Fuel Services Corporation,"world,fuel"
7603,UCTT,Ultra Clean Holdings Inc,"ultra,clean"
3540,HCSG,Healthcare Services Group Inc,[]
6445,ROCK,Gibraltar Industries Inc,"gibraltar,industries"
3226,GIC,Global Industrial Company,"global,industrial"
1818,COMM,CommScope Holding Company Inc,"commscope,holding"
4314,KRNT,Kornit Digital Ltd,"kornit,digital"
6316,RETA,Reata Pharmaceuticals Inc,"reata,pharmaceuticals"
3132,GCMG,GCM Grosvenor Inc,"gcm,grosvenor"
4351,KYMR,Kymera Therapeutics Inc,kymera
1032,BHG,Bright Health Group Inc,"bright,health"
7867,VORB,Virgin Orbit Holdings Inc,"virgin,orbit"
7739,VCEL,Vericel Corporation,"vericel,corporation"
7063,STEM,Stem Inc,"stem,inc"
4042,ISEE,IVERIC bio Inc,"iveric,bio"
351,ALEX,Alexander & Baldwin Inc,"alexander,&"
2141,DDL,Dingdong (Cayman) Limited,"dingdong,(cayman)"
802,AVNS,Avanos Medical Inc,"avanos,medical"
6048,PRO,PROS Holdings Inc,"pros,holdings"
1310,BUSE,First Busey Corporation,"first,busey"
2138,DDD,3D Systems Corporation,"3d,systems"
2970,FRG,Franchise Group Inc,"franchise,group"
4843,MIR,Mirion Technologies Inc,"mirion,technologies"
7309,TGH,Textainer Group Holdings Limited Common Shares,"textainer,group"
4342,KURA,Kura Oncology Inc,"kura,oncology"
445,AMLX,Amylyx Pharmaceuticals Inc,"amylyx,pharmaceuticals"
5912,PL,Planet Labs PBC Class A,"planet,labs"
4906,MNRL,Brigham Minerals Inc,"brigham,minerals"
7692,USNA,USANA Health Sciences Inc,"usana,health"
1921,CRSR,Corsair Gaming Inc,"corsair,gaming"
798,AVID,Avid Technology Inc,"avid,technology"
2765,FCF,First Commonwealth Financial Corporation,"first,commonwealth"
2059,CXW,CoreCivic Inc,corecivic
1987,CTOS,Custom Truck One Source Inc,"custom,truck"
2306,DSL,DoubleLine Income Solutions Fd,"doubleline,income"
6016,PRA,ProAssurance Corporation,"proassurance,corporation"
4094,JACK,Jack In The Box Inc,"jack,in"
1391,CANO,Cano Health Inc,"cano,health"
5711,PATK,Patrick Industries Inc,"patrick,industries"
4195,JWSM,Jaws Mustang Acquisition Corp,"jaws,mustang"
432,AMCX,AMC Networks Inc,"amc,networks"
368,ALKT,Alkami Technology Inc,"alkami,technology"
2640,ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fd,[]
5268,NMZ,Nuveen Municipal High Income Opportunity Fund  $0,[]
7745,VCSA,Vacasa Inc,vacasa
269,AGYS,Agilysys Inc,agilysys
1531,CFFN,Capitol Federal Financial Inc,"capitol,federal"
7725,VALN,Valneva SE,"valneva,se"
6699,SFL,SFL Corporation,"sfl,corporation"
1808,COHU,Cohu Inc,cohu
6369,RILY,B Riley Financial Inc,"b,riley"
3464,GTY,Getty Realty Corporation,"getty,realty"
1919,CRS,Carpenter Technology Corporation,"carpenter,technology"
618,AROC,Archrock Inc,archrock
5683,PACB,Pacific Biosciences of California Inc,"pacific,biosciences"
4306,KREF,KKR Real Estate Finance Trust Inc,"kkr,real"
2754,FBNC,First Bancorp,"first,bancorp"
2084,DAC,Danaos Corporation,"danaos,corporation"
599,ARGO,Argo Group International Holdings Ltd,[]
5506,OFG,OFG Bancorp,"ofg,bancorp"
6260,RCII,Rent-A-Center Inc,rent-a-center
3563,HESM,Hess Midstream LP Class A Share,"hess,midstream"
4210,KALU,Kaiser Aluminum Corporation,"kaiser,aluminum"
5083,MYOV,Myovant Sciences Ltd,"myovant,sciences"
3938,INFN,Infinera Corporation,"infinera,corporation"
5252,NMFC,New Mountain Finance Corporation,"new,mountain"
1952,CSR,D/B/A Centerspace,"d/b/a,centerspace"
6467,RPAY,Repay Holdings Corporation,"repay,holdings"
4922,MODV,ModivCare Inc,modivcare
5492,OCSL,Oaktree Specialty Lending Corporation,"oaktree,specialty"
8253,ZUO,Zuora Inc,zuora
4568,LPSN,LivePerson Inc,liveperson
1692,CLS,Celestica Inc,celestica
3,AAC,Ares Acquisition Corporation,"ares,acquisition"
7787,VHI,Valhi Inc,valhi
8194,YPF,YPF Sociedad Anonima,"ypf,sociedad"
4441,LFG,Archaea Energy Inc,"archaea,energy"
5630,OSTK,Overstock,overstock
2623,ESRT,Empire State Realty Trust Inc,"empire,state"
2715,EXTR,Extreme Networks Inc,"extreme,networks"
2692,EVV,Eaton Vance Limited Duration Income Fd,[]
4828,MHO,M/I Homes Inc,"m/i,homes"
1564,CHCO,City Holding Company,"city,holding"
1666,CLDX,Celldex Therapeutics Inc,celldex
2660,EVBG,Everbridge Inc,everbridge
5200,NGM,NGM Biopharmaceuticals Inc,"ngm,biopharmaceuticals"
7521,TTMI,TTM Technologies Inc,"ttm,technologies"
6602,SBSI,Southside Bancshares Inc,"southside,bancshares"
6645,SCS,Steelcase Inc,steelcase
4567,LPRO,Open Lending Corporation,"open,lending"
7882,VRE,Veris Residential Inc,"veris,residential"
1403,CASH,Meta Financial Group Inc,"meta,financial"
7194,TALO,Talos Energy Inc,"talos,energy"
2126,DCOM,Dime Community Bancshares Inc,"dime,community"
6619,SCHL,Scholastic Corporation,"scholastic,corporation"
5039,MTTR,Matterport Inc,matterport
6350,RGNX,REGENXBIO Inc,regenxbio
1035,BHLB,Berkshire Hills Bancorp Inc,"berkshire,hills"
6517,RXDX,Prometheus Biosciences Inc,"prometheus,biosciences"
5046,MUC,Blackrock MuniHoldings California Quality Fund Inc,[]
4803,MGNI,Magnite Inc,"magnite,inc"
2912,FNKO,Funko Inc,funko
7708,UTZ,Utz Brands Inc Class A,"utz,brands"
412,ALX,Alexander's Inc,alexander's
622,ARQT,Arcutis Biotherapeutics Inc,"arcutis,biotherapeutics"
6039,PRIM,Primoris Services Corporation,"primoris,services"
3898,IMGN,ImmunoGen Inc,immunogen
5769,PCT,PureCycle Technologies Inc,"purecycle,technologies"
5440,NXGN,NextGen Healthcare Inc,"nextgen,healthcare"
3688,HRT,HireRight Holdings Corporation,"hireright,holdings"
4714,MCG,Membership Collective Group Inc,"membership,collective"
3140,GDEN,Golden Entertainment Inc,"golden,entertainment"
1917,CRON,Cronos Group Inc,"cronos,group"
4564,LPI,Laredo Petroleum Inc,"laredo,petroleum"
7055,STAR          ,iStar Inc,istar
3775,HYT,Blackrock Corporate High Yield Fund Inc,"blackrock,corporate"
4225,KDNY,Chinook Therapeutics Inc,chinook
7049,SSYS,Stratasys Ltd,stratasys
3597,HIMX,Himax Technologies Inc,"himax,technologies"
2818,FGEN,FibroGen Inc,fibrogen
5282,NOAH,Noah Holdings Limited,"noah,holdings"
3596,HIMS,Hims & Hers Health Inc,"hims,&"
4484,LICY,Li-Cycle Holdings Corp,"li-cycle,holdings"
1678,CLNE,Clean Energy Fuels Corp,"clean,energy"
5697,PAM,Pampa Energia S,"pampa,energia"
4783,MFA,MFA Financial Inc,"mfa,financial"
2005,CUBI,Customers Bancorp Inc,[]
7210,TBBK,The Bancorp Inc,"the,bancorp"
2193,DIN,Dine Brands Global Inc,"dine,brands"
5486,OCFC,OceanFirst Financial Corp,"oceanfirst,financial"
4698,MBUU,Malibu Boats Inc,"malibu,boats"
7468,TRS,TriMas Corporation,"trimas,corporation"
5111,NBHC,National Bank Holdings Corporation,[]
5189,NFJ,Virtus Dividend Interest & Premium Strategy Fd,"virtus,dividend"
2814,FFWM,First Foundation Inc,"first,foundation"
1683,CLOV,Clover Health Investments Corp,"clover,health"
6135,PTRA,Proterra Inc,proterra
2947,FPF,First Trust Intermediate Duration Preferred & Income Fd,[]
1916,CRNX,Crinetics Pharmaceuticals Inc,"crinetics,pharmaceuticals"
2602,ERII,Energy Recovery Inc,"energy,recovery"
5377,NTUS,Natus Medical Incorporated,"natus,medical"
1787,CNXN,PC Connection Inc,"pc,connection"
2756,FBRT,Franklin BSP Realty Trust Inc,"franklin,bsp"
119,ACVA,ACV Auctions Inc,"acv,auctions"
4222,KC,Kingsoft Cloud Holdings Limited,"kingsoft,cloud"
6352,RGR,Sturm Ruger & Company Inc,"sturm,ruger"
2460,EIG,Employers Holdings Inc,"employers,holdings"
8027,WISH,ContextLogic Inc,contextlogic
741,ATRI,Atrion Corporation,"atrion,corporation"
997,BFS,Saul Centers Inc,"saul,centers"
2557,EPAC,Enerpac Tool Group Corp,"enerpac,tool"
1676,CLM,Cornerstone Strategic Value Fund Inc,"cornerstone,strategic"
5913,PLAB,Photronics Inc,photronics
5162,NEO,NeoGenomics Inc,neogenomics
1311,BV,BrightView Holdings Inc,"brightview,holdings"
880,BANC,Banc of California Inc,"banc,of"
7844,VMEO,Vimeo Inc,vimeo
7006,SRCE,1st Source Corporation,"1st,source"
4789,MFGP,Micro Focus Intl PLC ADS each representing One Ord Sh,"micro,focus"
6844,SLP,Simulations Plus Inc,"simulations,plus"
6568,SAND          ,Sandstorm Gold Ltd,"sandstorm,gold"
4658,MAG,MAG Silver Corporation,"mag,silver"
8168,XPRO,Expro Group Holdings N,"expro,group"
1474,CDMO,Avid Bioservices Inc,"avid,bioservices"
8197,YSG,Yatsen Holding Limited,"yatsen,holding"
6895,SNDX,Syndax Pharmaceuticals Inc,"syndax,pharmaceuticals"
1724,CMP,Compass Minerals Intl Inc,"compass,minerals"
3129,GBX,Greenbrier Companies Inc,"greenbrier,companies"
909,BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,"blackrock,taxable"
6986,SPTN,SpartanNash Company,spartannash
109,ACRS,Aclaris Therapeutics Inc,aclaris
7399,TNC,Tennant Company,tennant
3438,GSM,Ferroglobe PLC Ordinary Shares,"ferroglobe,ordinary"
5703,PAR,PAR Technology Corporation,"par,technology"
3722,HTLD,Heartland Express Inc,"heartland,express"
8221,ZH,Zhihu Inc,zhihu
4725,MCRI,Monarch Casino & Resort Inc,"monarch,casino"
1128,BLU,BELLUS Health Inc,"bellus,health"
5508,OFLX,Omega Flex Inc,"omega,flex"
2157,DFH,Dream Finders Homes Inc,"dream,finders"
4631,LXU,LSB Industries Inc,"lsb,industries"
5941,PLYA,Playa Hotels & Resorts N,"playa,hotels"
1276,BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,"blackrock,science"
1554,CGC,Canopy Growth Corporation,"canopy,growth"
6438,ROAD,Construction Partners Inc,"construction,partners"
4022,IRBT,iRobot Corporation,"irobot,corporation"
6508,RVNC,Revance Therapeutics Inc,revance
5455,NYMT,New York Mortgage Trust Inc,[]
7059,STBA,S&T Bancorp Inc,"s&t,bancorp"
4642,LZB,La-Z-Boy Incorporated,"la-z-boy,incorporated"
1914,CRNC,Cerence Inc,cerence
5865,PGTI,PGT Innovations Inc,"pgt,innovations"
5115,NBR,Nabors Industries Ltd,"nabors,industries"
6054,PRPB,CC Neuberger Principal Holdings II Class A Ordinary Shares,"cc,neuberger"
6890,SNCY,Sun Country Airlines Holdings Inc,"sun,country"
1387,CAMT,Camtek Ltd,camtek
875,BALY,Bally's Corporation,"bally's,corporation"
7040,SSP,E,[]
5206,NHC,National HealthCare Corporation,"national,healthcare"
1662,CLBT,Cellebrite DI Ltd,"cellebrite,di"
7769,VERU,Veru Inc,veru
2450,EGO,Eldorado Gold Corporation,"eldorado,gold"
3698,HSKA,Heska Corporation,"heska,corporation"
6811,SKYW,SkyWest Inc,skywest
7834,VLRS,Controladora Vuela Compania de Aviacion S,"controladora,vuela"
2251,DNOW,NOW Inc,"now,inc"
2534,ENTA,Enanta Pharmaceuticals Inc,"enanta,pharmaceuticals"
6739,SHEN,Shenandoah Telecommunications Co,"shenandoah,telecommunications"
4870,MLAB,Mesa Laboratories Inc,"mesa,laboratories"
609,ARKO,ARKO Corp,arko
5319,NRGV,Energy Vault Holdings Inc,"energy,vault"
1993,CTS,CTS Corporation,"cts,corporation"
5525,OII,Oceaneering International Inc,"oceaneering,international"
710,ATEN,A10 Networks Inc,"a10,networks"
4901,MNKD,MannKind Corporation,"mannkind,corporation"
3560,HERA,FTAC Hera Acquisition Corp,"ftac,hera"
2261,DOMO,Domo Inc,domo
4976,MRUS,Merus N,"merus,n"
6261,RCKT,Rocket Pharmaceuticals Inc,"rocket,pharmaceuticals"
3511,HBM,Hudbay Minerals Inc,"hudbay,minerals"
6429,RNP,Cohen & Steers REIT and Preferred and Income Fund Inc,[]
375,ALLG,Allego N,"allego,n"
5622,OSCR,Oscar Health Inc,"oscar,health"
6116,PTA,Cohen & Steers Tax-Advantaged Preferred Securities and Income Fd,[]
1882,CPUH,Compute Health Acquisition Corp,"compute,health"
247,AGM,Federal Agricultural Mortgage Corporation,"federal,agricultural"
900,BBDC,Barings BDC Inc,"barings,bdc"
455,AMPS,Altus Power Inc,"altus,power"
3431,GSHD,Goosehead Insurance Inc,"goosehead,insurance"
482,ANDE,Andersons Inc,andersons
4760,MEG,Montrose Environmental Group Inc,"montrose,environmental"
7392,TMP,Tompkins Financial Corporation,"tompkins,financial"
3864,IHRT,iHeartMedia Inc,iheartmedia
3174,GES,Guess? Inc,guess?
6196,QQQX,Nuveen NASDAQ 100 Dynamic Overwrite Fd,"nuveen,nasdaq"
2414,EDIT,Editas Medicine Inc,"editas,medicine"
7018,SRNE,Sorrento Therapeutics Inc,sorrento
6824,SLDP,Solid Power Inc,"solid,power"
6278,RDFN,Redfin Corporation,"redfin,corporation"
805,AVO,Mission Produce Inc,"mission,produce"
2380,EB,Eventbrite Inc,eventbrite
6388,RKT,Rocket Companies Inc,"rocket,companies"
3165,GEL,Genesis Energy L,"genesis,energy"
4352,KYN,Kayne Anderson Energy Infrastructure Fund Inc,[]
3976,INVA,Innoviva Inc,innoviva
4525,LMAT,LeMaitre Vascular Inc,"lemaitre,vascular"
1519,CERS,Cerus Corporation,"cerus,corporation"
3390,GRBK,Green Brick Partners Inc,"green,brick"
1233,BRKL,Brookline Bancorp Inc,"brookline,bancorp"
1905,CRHC,Cohn Robbins Holdings Corp,"cohn,robbins"
3966,INTA,Intapp Inc,intapp
316,AIV,Apartment Investment and Management Company,"apartment,investment"
6283,RDNT,RadNet Inc,radnet
1305,BTZ,BlackRock Credit Allocation Income Trust,"blackrock,credit"
3086,GABC,German American Bancorp Inc,"german,american"
6217,QURE,uniQure N,"uniqure,n"
2379,EAT,Brinker International Inc,"brinker,international"
636,ARVL,Arrival Ordinary Shares,"arrival,ordinary"
5828,PFBC,Preferred Bank,"preferred,bank"
3552,HEES,H&E Equipment Services Inc,"h&e,equipment"
6287,RDWR,Radware Ltd,radware
856,AZZ,AZZ Inc,azz
4929,MOMO,Hello Group Inc,"hello,group"
71,ACEL,Accel Entertainment Inc,"accel,entertainment"
6311,REPL,Replimune Group Inc,"replimune,group"
7161,SXI,Standex International Corporation,"standex,international"
6770,SIGA,SIGA Technologies Inc,"siga,technologies"
2186,DHT,DHT Holdings Inc,"dht,holdings"
7635,UMH,UMH Properties Inc,"umh,properties"
5732,PBFX,PBF Logistics LP Common Units representing limited partner interests,"pbf,logistics"
1251,BRSP,BrightSpire Capital Inc,"brightspire,capital"
3989,IONQ,IonQ Inc,ionq
6578,SAVA,Cassava Sciences Inc,"cassava,sciences"
6491,RTL,The Necessity Retail REIT Inc,"the,necessity"
3229,GIII,G-III Apparel Group LTD,"g-iii,apparel"
2118,DCBO,Docebo Inc,docebo
6960,SPH,Suburban Propane Partners L,"suburban,propane"
6243,RBCAA,Republic Bancorp Inc,"republic,bancorp"
159,ADTN,ADTRAN Inc,adtran
5585,OPI,Office Properties Income Trust Common Shares of Beneficial Interest,"office,properties"
7587,UAN,CVR Partners LP Common Units representing Limited Partner Interests,"cvr,partners"
3193,GGAL,Grupo Financiero Galicia S,"grupo,financiero"
6874,SMP,Standard Motor Products Inc,"standard,motor"
6049,PROC,Procaps Group S,"procaps,group"
4687,MBIN,Merchants Bancorp,"merchants,bancorp"
1669,CLFD,Clearfield Inc,clearfield
7111,SUMO,Sumo Logic Inc,"sumo,logic"
2685,EVOP,EVO Payments Inc,"evo,payments"
7455,TRMD,TORM plc Class A,"torm,class"
3886,IMAB,I-MAB,i-mab
4921,MODN,Model N Inc,"model,n"
1458,CCSI,Consensus Cloud Solutions Inc,"consensus,cloud"
2158,DFIN,Donnelley Financial Solutions Inc,"donnelley,financial"
95,ACMR,ACM Research Inc,"acm,research"
465,AMSF,AMERISAFE Inc,amerisafe
2541,ENVA,Enova International Inc,"enova,international"
5323,NRK,Nuveen New York AMT-Free Quality Municipal Income Fd,[]
4799,MGI,Moneygram International Inc,"moneygram,international"
2630,ESTE,Earthstone Energy Inc,"earthstone,energy"
1380,CAL,Caleres Inc,caleres
7071,STKL,SunOpta Inc,sunopta
814,AVXL,Anavex Life Sciences Corp,"anavex,life"
3893,IMAX,Imax Corporation,"imax,corporation"
6221,RA,Brookfield Real Assets Income Fund Inc,"brookfield,real"
2049,CWH,Camping World Holdings Inc,"camping,world"
7385,TMDX,TransMedics Group Inc,"transmedics,group"
469,AMTB,Amerant Bancorp Inc,"amerant,bancorp"
7607,UEC,Uranium Energy Corp,"uranium,energy"
682,ASTE,Astec Industries Inc,"astec,industries"
1521,CET,Central Securities Corporation,"central,securities"
1769,CNOB,ConnectOne Bancorp Inc,"connectone,bancorp"
7770,VERV,Verve Therapeutics Inc,verve
4958,MQY,Blackrock MuniYield Quality Fund Inc,[]
7563,TWOU,2U Inc,2u
6198,QRTEA,Qurate Retail Inc,"qurate,retail"
771,AUS,Austerlitz Acquisition Corporation,[]
6876,SMRT,SmartRent Inc,smartrent
6146,PUMP,ProPetro Holding Corp,"propetro,holding"
3575,HGTY,Hagerty Inc,hagerty
7149,SWIR,Sierra Wireless Inc,"sierra,wireless"
6516,RWT,Redwood Trust Inc,"redwood,trust"
8216,ZETA,Zeta Global Holdings Corp,"zeta,global"
3747,HUYA,HUYA Inc,huya
6027,PRG,PROG Holdings Inc,"prog,holdings"
4319,KRP,Kimbell Royalty Partners Common Units Representing Limited Partner Interests,"kimbell,royalty"
4382,LBAI,Lakeland Bancorp Inc,"lakeland,bancorp"
6180,QCRH,QCR Holdings Inc,"qcr,holdings"
350,ALEC,Alector Inc,alector
5376,NTST,NetSTREIT Corp,netstreit
5707,PARR,Par Pacific Holdings Inc,"par,pacific"
6829,SLGC,SomaLogic Inc,somalogic
7754,VECO,Veeco Instruments Inc,"veeco,instruments"
661,ASIX,AdvanSix Inc,advansix
2303,DSGN,Design Therapeutics Inc,"design,therapeutics"
6537,SA,Seabridge Gold Inc,"seabridge,gold"
5313,NRC,National Research Corporation,"national,research"
3519,HCAT,Health Catalyst Inc,"health,catalyst"
5499,OEC,Orion Engineered Carbons S,"orion,engineered"
3649,HOLI,Hollysys Automation Technologies Ltd,"hollysys,automation"
3616,HLIT,Harmonic Inc,harmonic
2652,ETW,Eaton Vance Corporation,[]
2235,DMLP,Dorchester Minerals L,"dorchester,minerals"
3885,ILPT,Industrial Logistics Properties Trust Common Shares of Beneficial Interest,"industrial,logistics"
5474,OBNK,Origin Bancorp Inc,"origin,bancorp"
6650,SCWX,SecureWorks Corp,secureworks
1825,CONX,CONX Corp,conx
2969,FREY,FREYR Battery Ordinary Shares,"freyr,battery"
1296,BTRS,BTRS Holdings Inc,"btrs,holdings"
4771,MERC,Mercer International Inc,"mercer,international"
4800,MGIC,Magic Software Enterprises Ltd,"magic,software"
5892,PIII,P3 Health Partners Inc,"p3,health"
3963,INSW,International Seaways Inc,"international,seaways"
3154,GDYN,Grid Dynamics Holdings Inc,"grid,dynamics"
7125,SVC,Service Properties Trust,"service,properties"
3112,GB,Global Blue Group Holding AG Ordinary Shares,"global,blue"
7703,UTL,UNITIL Corporation,"unitil,corporation"
5829,PFC,Premier Financial Corp,"premier,financial"
2431,EFC,Ellington Financial Inc,"ellington,financial"
1345,BY,Byline Bancorp Inc,"byline,bancorp"
7687,USER,UserTesting Inc,usertesting
945,BCSF,Bain Capital Specialty Finance Inc,"bain,capital"
7625,UIS,Unisys Corporation,"unisys,corporation"
4177,JRVR,James River Group Holdings Ltd,"james,river"
1752,CNDT,Conduent Incorporated,"conduent,incorporated"
2228,DLX,Deluxe Corporation,"deluxe,corporation"
2109,DBI,Designer Brands Inc,"designer,brands"
1240,BRMK,Broadmark Realty Capital Inc,"broadmark,realty"
7382,TMCI,Treace Medical Concepts Inc,"treace,medical"
1364,CAAP,Corporacion America Airports SA Common Shares,"corporacion,america"
3677,HQH,Tekla Healthcare Investors,"tekla,healthcare"
3569,HFWA,Heritage Financial Corporation,"heritage,financial"
6642,SCRM,Screaming Eagle Acquisition Corp,"screaming,eagle"
6620,SCHN,Schnitzer Steel Industries Inc,"schnitzer,steel"
4933,MORF,Morphic Holding Inc,"morphic,holding"
2348,DWAC,Digital World Acquisition Corp,"digital,world"
5088,MYTE,MYT Netherlands Parent B,"myt,netherlands"
1415,CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share,"companhia,brasileira"
2931,FORR,Forrester Research Inc,"forrester,research"
512,AOSL,Alpha and Omega Semiconductor Limited Common Shares,"alpha,and"
1565,CHCT,Community Healthcare Trust Incorporated,"community,healthcare"
5051,MUI,BlackRock Municipal Income Fund Inc,[]
7546,TWI,Titan International Inc,"titan,international"
4624,LWLG,Lightwave Logic Inc,"lightwave,logic"
485,ANF,Abercrombie & Fitch Company,"abercrombie,&"
2131,DCPH,Deciphera Pharmaceuticals Inc,"deciphera,pharmaceuticals"
3095,GAM,General American Investors Inc,"general,american"
263,AGRO,Adecoagro S,"adecoagro,sa"
4248,KIDS,OrthoPediatrics Corp,orthopediatrics
3853,IGMS,IGM Biosciences Inc,"igm,biosciences"
2551,EOS,Eaton Vance Enhance Eq,[]
806,AVPT,AvePoint Inc,avepoint
3073,FWRG,First Watch Restaurant Group Inc,"first,watch"
5662,OXLC,Oxford Lane Capital Corp,"oxford,lane"
5717,PAYA,Paya Holdings Inc,"paya,holdings"
272,AHH,Armada Hoffler Properties Inc,"armada,hoffler"
5388,NUVB,Nuvation Bio Inc,"nuvation,bio"
4676,MATW,Matthews International Corporation,"matthews,international"
6972,SPNT,SiriusPoint Ltd,siriuspoint
1243,BROG,Brooge Energy Limited Ordinary Shares,"brooge,energy"
225,AFYA,Afya Limited Class A Common Shares,"afya,limited"
936,BCOR,Blucora Inc,blucora
1728,CMPR,Cimpress plc Ordinary Shares (Ireland),"cimpress,ordinary"
93,ACLX,Arcellx Inc,arcellx
5488,OCFT,OneConnect Financial Technology Co,"oneconnect,financial"
3385,GPRO,GoPro Inc,gopro
2289,DRQ,Dril-Quip Inc,dril-quip
6773,SII,Sprott Inc,sprott
6711,SGH,SMART Global Holdings Inc,"smart,global"
4432,LEV,The Lion Electric Company Common Shares,"the,lion"
6968,SPLP,Steel Partners Holdings LP LTD PARTNERSHIP UNIT,"steel,partners"
6599,SBR,Sabine Royalty Trust,"sabine,royalty"
6421,RNA,Avidity Biosciences Inc,"avidity,biosciences"
1659,CLB,Core Laboratories N,"core,laboratories"
3922,IMXI,International Money Express Inc,"international,money"
5272,NNDM,Nano Dimension Ltd,"nano,dimension"
504,AOD,Aberdeen Total Dynamic Dividend Fd,"aberdeen,total"
8189,YMAB,Y-mAbs Therapeutics Inc,y-mabs
6060,PRS,Prudential Financial Inc,[]
2165,DGII,Digi International Inc,"digi,international"
7334,THQ,Tekla Healthcare Opportunies Fd,[]
7954,WASH,Washington Trust Bancorp Inc,"washington,trust"
539,APOG,Apogee Enterprises Inc,"apogee,enterprises"
6893,SNDL,Sundial Growers Inc,"sundial,growers"
5885,PHVS,Pharvaris N,"pharvaris,n"
8040,WLKP,Westlake Chemical Partners LP Common Units representing limited partner interests,"westlake,chemical"
5389,NUVL,Nuvalent Inc,nuvalent
1610,CHY,Calamos Convertible and High Income Fd,[]
3777,HYZN,Hyzon Motors Inc,"hyzon,motors"
3907,IMOS,ChipMOS TECHNOLOGIES INC,"chipmos,technologies"
3781,HZO,MarineMax Inc,marinemax
5989,POSH,Poshmark Inc,poshmark
2250,DNN,Denison Mines Corp Ordinary Shares (Canada),"denison,mines"
