news_id,company_word,pk,symbol,name,stock_keyword_5
417634,clean energy,1678,CLNE,Clean Energy Fuels Corp,"['borrowing', 'loan', 'financing', 'debt', 'lending']"
417634,renewable energy,6299,REGI,Renewable Energy Group Inc,"['borrowing', 'loan', 'financing', 'debt', 'lending']"
417531,emerging markets,3657,HORI,Emerging Markets Horizon Corp,"['forecast', 'gdp', 'predicts', 'emerging', 'economic']"
417533,comcast,1717,CMCSA,Comcast Corporation,"['showtime', 'netflix', 'nbcuniversal', 'tv', 'bela']"
417533,netflix,5190,NFLX,Netflix Inc,"['showtime', 'netflix', 'nbcuniversal', 'tv', 'bela']"
417534,pfizer,5832,PFE,Pfizer Inc,"['pandemic', 'coronavirus', 'covid', 'vaccine', 'outbreak']"
417534,astrazeneca,849,AZN,AstraZeneca PLC,"['pandemic', 'coronavirus', 'covid', 'vaccine', 'outbreak']"
417534,abbott,49,ABT,Abbott Laboratories,"['pandemic', 'coronavirus', 'covid', 'vaccine', 'outbreak']"
417534,biontech,1169,BNTX,BioNTech SE American Depositary Share,"['pandemic', 'coronavirus', 'covid', 'vaccine', 'outbreak']"
417534,woodward,8116,WWD,Woodward Inc,"['pandemic', 'coronavirus', 'covid', 'vaccine', 'outbreak']"
417534,southern california,6616,SCE^J,Southern California Edison Company 5,"['pandemic', 'coronavirus', 'covid', 'vaccine', 'outbreak']"
417535,microsoft,4996,MSFT,Microsoft Corporation,"['uae', 'dubai', 'emirate', 'economiesdubai', 'economy']"
417535,ihs,3865,IHS,IHS Holding Limited Ordinary Shares,"['uae', 'dubai', 'emirate', 'economiesdubai', 'economy']"
417537,at&t,7182,T,AT&T Inc,"['vrio', 'directv', 'tv', 'acquisition', 'stock']"
417557,air transport,744,ATSG,Air Transport Services Group Inc,"['ethiopia', 'ethiopian', 'kenya', 'regulation', 'africa']"
417558,apple,21,AAPL,Apple Inc,"['stock', 'nasdaq', 'stocksthe', 'trading', 'dip']"
417558,tesla,7502,TSLA,Tesla Inc,"['stock', 'nasdaq', 'stocksthe', 'trading', 'dip']"
417558,advanced micro,433,AMD,Advanced Micro Devices Inc,"['stock', 'nasdaq', 'stocksthe', 'trading', 'dip']"
417558,charles schwab,6621,SCHW,Charles Schwab Corporation,"['stock', 'nasdaq', 'stocksthe', 'trading', 'dip']"
